"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","flaggenrahmen src 3"
"11","https://img.a.transfermarkt.technology/portrait/medium/323704-1602271074.png?lm=1","Malcom","https://www.transfermarkt.us/malcom/profil/spieler/323704","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/zenit-st-petersburg/startseite/verein/964/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/964.png?lm=1486195881","Zenit S-Pb","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","Premier Liga","https://www.transfermarkt.us/premier-liga/transfers/wettbewerb/RU1/saison_id/2019","€40.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/323704/transfer_id/2586557","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569"
"12","https://img.a.transfermarkt.technology/portrait/medium/206040-1668454631.jpg?lm=1","Raúl Jiménez","https://www.transfermarkt.us/raul-jimenez/profil/spieler/206040","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","https://www.transfermarkt.us/wolverhampton-wanderers/startseite/verein/543/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/543.png?lm=1467496784","Wolves","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€38.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/206040/transfer_id/2443967",""
"13","https://img.a.transfermarkt.technology/portrait/medium/431755-1624534430.jpg?lm=1","Dejan Kulusevski","https://www.transfermarkt.us/dejan-kulusevski/profil/spieler/431755","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/147.png?lm=1520611569","https://www.transfermarkt.us/juventus-turin/startseite/verein/506/saison_id/2019","","Juventus","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€35.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/431755/transfer_id/2742036","https://tmssl.akamaized.net/images/flagge/verysmall/100.png?lm=1520611569"
"14","https://img.a.transfermarkt.technology/portrait/medium/246968-1414660679.jpg?lm=1","Ayoze Pérez","https://www.transfermarkt.us/ayoze-perez/profil/spieler/246968","Second Striker","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/leicester-city/startseite/verein/1003/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1003.png?lm=1472229265","Leicester","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€33.40m","https://www.transfermarkt.us/jumplist/transfers/spieler/246968/transfer_id/2537420",""
"15","https://img.a.transfermarkt.technology/portrait/medium/284165-1660913350.jpg?lm=1","Steven Bergwijn","https://www.transfermarkt.us/steven-bergwijn/profil/spieler/284165","Left Winger","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/tottenham-hotspur/startseite/verein/148/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/148.png?lm=1544345801","Tottenham","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€30.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/284165/transfer_id/2777367","https://tmssl.akamaized.net/images/flagge/verysmall/161.png?lm=1520611569"
"16","https://img.a.transfermarkt.technology/portrait/medium/410225-1668162683.jpg?lm=1","Ismaïla Sarr","https://www.transfermarkt.us/ismaila-sarr/profil/spieler/410225","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569","https://www.transfermarkt.us/fc-watford/startseite/verein/1010/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1010.png?lm=1468103673","Watford","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€30.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/410225/transfer_id/2596848",""
"17","https://img.a.transfermarkt.technology/portrait/medium/257448-1614091929.jpg?lm=1","Gelson Martins","https://www.transfermarkt.us/gelson-martins/profil/spieler/257448","Right Winger","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/as-monaco/startseite/verein/162/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919","Monaco","https://tmssl.akamaized.net/images/flagge/verysmall/113.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€30.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/257448/transfer_id/2532100","https://tmssl.akamaized.net/images/flagge/verysmall/32.png?lm=1520611569"
"18","https://img.a.transfermarkt.technology/portrait/medium/357164-1661352687.jpg?lm=1","Rafael Leão","https://www.transfermarkt.us/rafael-leao/profil/spieler/357164","Left Winger","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/ac-mailand/startseite/verein/5/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/5.png?lm=1605166627","AC Milan","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€29.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/357164/transfer_id/2585035","https://tmssl.akamaized.net/images/flagge/verysmall/6.png?lm=1520611569"
"19","https://img.a.transfermarkt.technology/portrait/medium/278359-1550674186.jpg?lm=1","Borja Iglesias","https://www.transfermarkt.us/borja-iglesias/profil/spieler/278359","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/real-betis-sevilla/startseite/verein/150/saison_id/2019","","Real Betis","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€28.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/278359/transfer_id/2606398",""
"20","https://img.a.transfermarkt.technology/portrait/medium/364135-1663577320.jpg?lm=1","Moise Kean","https://www.transfermarkt.us/moise-kean/profil/spieler/364135","Centre-Forward","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/fc-everton/startseite/verein/29/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/29.png?lm=1445949846","Everton","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€27.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/364135/transfer_id/2588686","https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569"
