"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href"
"41","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Simon Sluga","https://www.transfermarkt.us/simon-sluga/profil/spieler/188201","https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569","https://www.transfermarkt.us/luton-town/startseite/verein/1031/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1031.png?lm=1457723228","Luton","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€1.70m","https://www.transfermarkt.us/jumplist/transfers/spieler/188201/transfer_id/2565494"
"42","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Gerónimo Rulli","https://www.transfermarkt.us/geronimo-rulli/profil/spieler/229604","https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569","https://www.transfermarkt.us/montpellier-hsc/startseite/verein/969/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/969.png?lm=1459072367","Montpellier","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/229604/transfer_id/2605928"
"43","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Oier Olazábal","https://www.transfermarkt.us/oier-olazabal/profil/spieler/8176","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/espanyol-barcelona/startseite/verein/714/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/714.png?lm=1406966369","Espanyol","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€1.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/8176/transfer_id/2782398"
"44","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Paul Nardi","https://www.transfermarkt.us/paul-nardi/profil/spieler/189744","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/fc-lorient/startseite/verein/1158/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1158.png?lm=1406642498","FC Lorient","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 2","https://www.transfermarkt.us/ligue-2/transfers/wettbewerb/FR2/saison_id/2019","€1.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/189744/transfer_id/2570970"
"45","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Orestis Karnezis","https://www.transfermarkt.us/orestis-karnezis/profil/spieler/16408","https://tmssl.akamaized.net/images/flagge/verysmall/56.png?lm=1520611569","https://www.transfermarkt.us/ssc-neapel/startseite/verein/6195/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876","SSC Napoli","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€1.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/16408/transfer_id/2215832"
"46","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Kjell Scherpen","https://www.transfermarkt.us/kjell-scherpen/profil/spieler/463527","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/ajax-amsterdam/startseite/verein/610/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/610.png?lm=1657054414","Ajax","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","Eredivisie","https://www.transfermarkt.us/eredivisie/transfers/wettbewerb/NL1/saison_id/2019","€1.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/463527/transfer_id/2460001"
"47","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Camilo Vargas","https://www.transfermarkt.us/camilo-vargas/profil/spieler/74113","https://tmssl.akamaized.net/images/flagge/verysmall/83.png?lm=1520611569","https://www.transfermarkt.us/atlas-guadalajara/startseite/verein/8590/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/8590.png?lm=1416040537","Atlas","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","Liga MX Clausura","https://www.transfermarkt.us/liga-mx-clausura/transfers/wettbewerb/MEX1/saison_id/2019","€1.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/74113/transfer_id/2538618"
"48","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Altay Bayindir","https://www.transfermarkt.us/altay-bayindir/profil/spieler/336077","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","https://www.transfermarkt.us/fenerbahce-istanbul/startseite/verein/36/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/36.png?lm=1406739123","Fenerbahce","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","Süper Lig","https://www.transfermarkt.us/super-lig/transfers/wettbewerb/TR1/saison_id/2019","€1.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/336077/transfer_id/2545338"
"49","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Lorenzo Avogadri","https://www.transfermarkt.us/lorenzo-avogadri/profil/spieler/463497","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/sampdoria-genua-u19/startseite/verein/12001/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/12001.png?lm=1520934353","Sampdoria U19","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Primavera 1","https://www.transfermarkt.us/primavera-1/transfers/wettbewerb/IJ1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/463497/transfer_id/2557699"
"50","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Daniel Heuer Fernandes","https://www.transfermarkt.us/daniel-heuer-fernandes/profil/spieler/84993","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/hamburger-sv/startseite/verein/41/saison_id/2019","","Hamburger SV","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","2. Bundesliga","https://www.transfermarkt.us/2-bundesliga/transfers/wettbewerb/L2/saison_id/2019","€1.30m","https://www.transfermarkt.us/jumplist/transfers/spieler/84993/transfer_id/2491050"
"51","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Nicolò Vaccarezza","https://www.transfermarkt.us/nicolo-vaccarezza/profil/spieler/556682","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/sampdoria-genua-u17/startseite/verein/49745/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/49745.png?lm=1520934353","Sampdoria U17","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Under 17 - A","https://www.transfermarkt.us/campionato-nazionale-under-17-a/transfers/wettbewerb/ITJ4/saison_id/2019","€1.25m","https://www.transfermarkt.us/jumplist/transfers/spieler/556682/transfer_id/2546472"
"52","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Muhammed Sengezer","https://www.transfermarkt.us/muhammed-sengezer/profil/spieler/330871","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","https://www.transfermarkt.us/istanbul-basaksehir-fk/startseite/verein/6890/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6890.png?lm=1521449959","Basaksehir","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","Süper Lig","https://www.transfermarkt.us/super-lig/transfers/wettbewerb/TR1/saison_id/2019","€1.15m","https://www.transfermarkt.us/jumplist/transfers/spieler/330871/transfer_id/2632449"
"53","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Dejan Stojanovic","https://www.transfermarkt.us/dejan-stojanovic/profil/spieler/115989","https://tmssl.akamaized.net/images/flagge/verysmall/127.png?lm=1520611569","https://www.transfermarkt.us/fc-middlesbrough/startseite/verein/641/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/641.png?lm=1443702192","Middlesbrough","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€1.10m","https://www.transfermarkt.us/jumplist/transfers/spieler/115989/transfer_id/2761804"
"54","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Guillermo Ochoa","https://www.transfermarkt.us/guillermo-ochoa/profil/spieler/29559","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","https://www.transfermarkt.us/cf-america/startseite/verein/3631/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/3631.png?lm=1403472558","América","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","Liga MX Clausura","https://www.transfermarkt.us/liga-mx-clausura/transfers/wettbewerb/MEX1/saison_id/2019","€1.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/29559/transfer_id/2593970"
"55","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Bruno Varela","https://www.transfermarkt.us/bruno-varela/profil/spieler/182722","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/ajax-amsterdam/startseite/verein/610/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/610.png?lm=1657054414","Ajax","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","Eredivisie","https://www.transfermarkt.us/eredivisie/transfers/wettbewerb/NL1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/182722/transfer_id/2382991"
"56","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Alfred Gomis","https://www.transfermarkt.us/alfred-gomis/profil/spieler/163568","https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569","https://www.transfermarkt.us/dijon-fco/startseite/verein/2969/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/2969.png?lm=1408780404","Dijon","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€1.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/163568/transfer_id/2614764"
"57","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Léo Jardim","https://www.transfermarkt.us/leo-jardim/profil/spieler/288415","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/rio-ave-fc/startseite/verein/2425/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/2425.png?lm=1516613968","Rio Ave FC","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","Liga NOS","https://www.transfermarkt.us/liga-nos/transfers/wettbewerb/PO1/saison_id/2019","€1.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/288415/transfer_id/2482497"
"58","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Lorenzo Montipò","https://www.transfermarkt.us/lorenzo-montipo/profil/spieler/241923","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/benevento-calcio/startseite/verein/4171/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/4171.png?lm=1434444046","Benevento","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie B","https://www.transfermarkt.us/serie-b/transfers/wettbewerb/IT2/saison_id/2019","€1.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/241923/transfer_id/2176842"
"59","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Danijel Petkovic","https://www.transfermarkt.us/danijel-petkovic/profil/spieler/188930","https://tmssl.akamaized.net/images/flagge/verysmall/216.png?lm=1520611569","https://www.transfermarkt.us/sco-angers/startseite/verein/1420/saison_id/2019","","Angers SCO","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€900k","https://www.transfermarkt.us/jumplist/transfers/spieler/188930/transfer_id/2562149"
"60","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Hiroki Iikura","https://www.transfermarkt.us/hiroki-iikura/profil/spieler/79404","https://tmssl.akamaized.net/images/flagge/verysmall/77.png?lm=1520611569","https://www.transfermarkt.us/vissel-kobe/startseite/verein/3958/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/3958.png?lm=1411407793","Vissel Kobe","https://tmssl.akamaized.net/images/flagge/verysmall/77.png?lm=1520611569","J1 League","https://www.transfermarkt.us/j1-league/transfers/wettbewerb/JAP1/saison_id/2019","€850k","https://www.transfermarkt.us/jumplist/transfers/spieler/79404/transfer_id/2575085"
"61","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Alban Lafont","https://www.transfermarkt.us/alban-lafont/profil/spieler/357117","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/fc-nantes/startseite/verein/995/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/995.png?lm=1581355747","FC Nantes","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/357117/transfer_id/2529736"
"62","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Dong-jun Kim","https://www.transfermarkt.us/dong-jun-kim/profil/spieler/274824","https://tmssl.akamaized.net/images/flagge/verysmall/87.png?lm=1520611569","https://www.transfermarkt.us/daejeon-hana-citizen/startseite/verein/6499/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6499.png?lm=1613758494","Daejeon Hana C.","https://tmssl.akamaized.net/images/flagge/verysmall/87.png?lm=1520611569","K League 2","https://www.transfermarkt.us/k-league-2/transfers/wettbewerb/RSK2/saison_id/2019","€775k","https://www.transfermarkt.us/jumplist/transfers/spieler/274824/transfer_id/2755804"
"63","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Ron-Robert Zieler","https://www.transfermarkt.us/ron-robert-zieler/profil/spieler/21327","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/hannover-96/startseite/verein/42/saison_id/2019","","Hannover 96","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","2. Bundesliga","https://www.transfermarkt.us/2-bundesliga/transfers/wettbewerb/L2/saison_id/2019","€750k","https://www.transfermarkt.us/jumplist/transfers/spieler/21327/transfer_id/2511156"
"64","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Ortwin De Wolf","https://www.transfermarkt.us/ortwin-de-wolf/profil/spieler/450218","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/kas-eupen/startseite/verein/1245/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1245.png?lm=1464260524","KAS Eupen","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","Jupiler Pro League","https://www.transfermarkt.us/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2019","€750k","https://www.transfermarkt.us/jumplist/transfers/spieler/450218/transfer_id/2562378"
"65","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Aleksandr Vasyutin","https://www.transfermarkt.us/aleksandr-vasyutin/profil/spieler/215213","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","https://www.transfermarkt.us/zenit-st-petersburg/startseite/verein/964/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/964.png?lm=1486195881","Zenit S-Pb","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","Premier Liga","https://www.transfermarkt.us/premier-liga/transfers/wettbewerb/RU1/saison_id/2019","€700k","https://www.transfermarkt.us/jumplist/transfers/spieler/215213/transfer_id/2571574"
"66","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Vanderlei","https://www.transfermarkt.us/vanderlei/profil/spieler/68727","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/gremio-porto-alegre/startseite/verein/210/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/210.png?lm=1412879265","Grêmio","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","Série A","https://www.transfermarkt.us/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019","€650k","https://www.transfermarkt.us/jumplist/transfers/spieler/68727/transfer_id/2764322"
"67","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Jefersson Martínez","https://www.transfermarkt.us/jefersson-martinez/profil/spieler/254122","https://tmssl.akamaized.net/images/flagge/verysmall/83.png?lm=1520611569","https://www.transfermarkt.us/millonarios-fc/startseite/verein/2350/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/2350.png?lm=1644878652","Millonarios","https://tmssl.akamaized.net/images/flagge/verysmall/83.png?lm=1520611569","Liga DIMAYOR II","https://www.transfermarkt.us/liga-dimayor-ii/transfers/wettbewerb/COL1/saison_id/2019","€600k","https://www.transfermarkt.us/jumplist/transfers/spieler/254122/transfer_id/2695500"
"68","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Xavier Mous","https://www.transfermarkt.us/xavier-mous/profil/spieler/288426","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/pec-zwolle/startseite/verein/1269/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1269.png?lm=1610790473","PEC Zwolle","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","Eredivisie","https://www.transfermarkt.us/eredivisie/transfers/wettbewerb/NL1/saison_id/2019","€600k","https://www.transfermarkt.us/jumplist/transfers/spieler/288426/transfer_id/2521174"
"69","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Gian Marco Crespi","https://www.transfermarkt.us/gian-marco-crespi/profil/spieler/504825","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/fc-crotone/startseite/verein/4083/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/4083.png?lm=1520933356","Crotone","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie B","https://www.transfermarkt.us/serie-b/transfers/wettbewerb/IT2/saison_id/2019","€600k","https://www.transfermarkt.us/jumplist/transfers/spieler/504825/transfer_id/2780811"
"70","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Thomas Didillon","https://www.transfermarkt.us/thomas-didillon/profil/spieler/182891","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/krc-genk/startseite/verein/1184/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1184.png?lm=1464899410","KRC Genk","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","Jupiler Pro League","https://www.transfermarkt.us/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/182891/transfer_id/2775581"
"71","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Mattia Perin","https://www.transfermarkt.us/mattia-perin/profil/spieler/110923","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/genua-cfc/startseite/verein/252/saison_id/2019","","Genoa","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/110923/transfer_id/2741401"
"72","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Gregor Kobel","https://www.transfermarkt.us/gregor-kobel/profil/spieler/257814","https://tmssl.akamaized.net/images/flagge/verysmall/148.png?lm=1520611569","https://www.transfermarkt.us/vfb-stuttgart/startseite/verein/79/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/79.png?lm=1680587427","VfB Stuttgart","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","2. Bundesliga","https://www.transfermarkt.us/2-bundesliga/transfers/wettbewerb/L2/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/257814/transfer_id/2521077"
"73","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Dragan Rosic","https://www.transfermarkt.us/dragan-rosic/profil/spieler/374055","https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569","https://www.transfermarkt.us/ud-almeria/startseite/verein/3302/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/3302.png?lm=1408654801","UD Almería","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga SmartBank","https://www.transfermarkt.us/laliga2/transfers/wettbewerb/ES2/saison_id/2019","€500k","https://www.transfermarkt.us/jumplist/transfers/spieler/374055/transfer_id/2610686"
"74","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Egor Baburin","https://www.transfermarkt.us/egor-baburin/profil/spieler/146918","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","https://www.transfermarkt.us/fk-rostov/startseite/verein/1083/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1083.png?lm=1604130993","Rostov","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","Premier Liga","https://www.transfermarkt.us/premier-liga/transfers/wettbewerb/RU1/saison_id/2019","€500k","https://www.transfermarkt.us/jumplist/transfers/spieler/146918/transfer_id/2552585"
"75","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Erce Kardesler","https://www.transfermarkt.us/erce-kardesler/profil/spieler/291548","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","https://www.transfermarkt.us/trabzonspor/startseite/verein/449/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/449.png?lm=1665404571","Trabzonspor","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","Süper Lig","https://www.transfermarkt.us/super-lig/transfers/wettbewerb/TR1/saison_id/2019","€455k","https://www.transfermarkt.us/jumplist/transfers/spieler/291548/transfer_id/2565083"
"76","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Mohamed Sobhi","https://www.transfermarkt.us/mohamed-sobhi/profil/spieler/583889","https://tmssl.akamaized.net/images/flagge/verysmall/2.png?lm=1520611569","https://www.transfermarkt.us/zamalek-sc-u23/startseite/verein/15923/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/15923.png?lm=1415485832","Zamalek U21","https://tmssl.akamaized.net/images/flagge/verysmall/2.png?lm=1520611569","Egypt","","€450k","https://www.transfermarkt.us/jumplist/transfers/spieler/583889/transfer_id/2583969"
"77","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Rémy Descamps","https://www.transfermarkt.us/remy-descamps/profil/spieler/282028","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/rsc-charleroi/startseite/verein/172/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/172.png?lm=1448474590","RSC Charleroi","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","Jupiler Pro League","https://www.transfermarkt.us/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2019","€400k","https://www.transfermarkt.us/jumplist/transfers/spieler/282028/transfer_id/2596760"
"78","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Pepe Reina","https://www.transfermarkt.us/pepe-reina/profil/spieler/7825","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/aston-villa/startseite/verein/405/saison_id/2019","","Aston Villa","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/7825/transfer_id/2756703"
"79","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Philipp Tschauner","https://www.transfermarkt.us/philipp-tschauner/profil/spieler/21726","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/rasenballsport-leipzig/startseite/verein/23826/saison_id/2019","","RB Leipzig","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€350k","https://www.transfermarkt.us/jumplist/transfers/spieler/21726/transfer_id/2581919"
