"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href"
"11","https://img.a.transfermarkt.technology/portrait/medium/54534-1606395064.png?lm=1","Agustín Marchesín","https://www.transfermarkt.us/agustin-marchesin/profil/spieler/54534","https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569","https://www.transfermarkt.us/fc-porto/startseite/verein/720/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/720.png?lm=1486310161","FC Porto","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","Liga NOS","https://www.transfermarkt.us/liga-nos/transfers/wettbewerb/PO1/saison_id/2019","€7.70m","https://www.transfermarkt.us/jumplist/transfers/spieler/54534/transfer_id/2584143"
"12","https://img.a.transfermarkt.technology/portrait/medium/442531-1600951863.jpg?lm=1","Edouard Mendy","https://www.transfermarkt.us/edouard-mendy/profil/spieler/442531","https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569","https://www.transfermarkt.us/fc-stade-rennes/startseite/verein/273/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/273.png?lm=1408779098","Rennes","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€7.60m","https://www.transfermarkt.us/jumplist/transfers/spieler/442531/transfer_id/2593261"
"13","https://img.a.transfermarkt.technology/portrait/medium/146714-1658599187.jpg?lm=1","Tomas Koubek","https://www.transfermarkt.us/tomas-koubek/profil/spieler/146714","https://tmssl.akamaized.net/images/flagge/verysmall/172.png?lm=1520611569","https://www.transfermarkt.us/fc-augsburg/startseite/verein/167/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/167.png?lm=1656582897","FC Augsburg","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€7.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/146714/transfer_id/2592139"
"14","https://img.a.transfermarkt.technology/portrait/medium/45672-1663064649.jpg?lm=1","Kevin Trapp","https://www.transfermarkt.us/kevin-trapp/profil/spieler/45672","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/eintracht-frankfurt/startseite/verein/24/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/24.png?lm=1403806187","E. Frankfurt","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/45672/transfer_id/2594931"
"15","https://img.a.transfermarkt.technology/portrait/medium/50219-1616529337.jpg?lm=1","Simon Mignolet","https://www.transfermarkt.us/simon-mignolet/profil/spieler/50219","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/fc-brugge/startseite/verein/2282/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/2282.png?lm=1448474251","Club Brugge","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","Jupiler Pro League","https://www.transfermarkt.us/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/50219/transfer_id/2589788"
"16","https://img.a.transfermarkt.technology/portrait/medium/346546-1672484869.jpg?lm=1","Radoslaw Majecki","https://www.transfermarkt.us/radoslaw-majecki/profil/spieler/346546","https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569","https://www.transfermarkt.us/as-monaco/startseite/verein/162/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919","Monaco","https://tmssl.akamaized.net/images/flagge/verysmall/113.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/346546/transfer_id/2777554"
"17","https://img.a.transfermarkt.technology/portrait/medium/481344-1591363151.jpg?lm=1","Alessandro Russo","https://www.transfermarkt.us/alessandro-russo/profil/spieler/481344","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/us-sassuolo/startseite/verein/6574/saison_id/2019","","Sassuolo","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/481344/transfer_id/2575417"
"18","https://img.a.transfermarkt.technology/portrait/medium/221624-1665127241.jpg?lm=1","Zack Steffen","https://www.transfermarkt.us/zack-steffen/profil/spieler/221624","https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569","https://www.transfermarkt.us/manchester-city/startseite/verein/281/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/281.png?lm=1467356331","Man City","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€6.82m","https://www.transfermarkt.us/jumplist/transfers/spieler/221624/transfer_id/2336298"
"19","https://img.a.transfermarkt.technology/portrait/medium/371247-1595850733.jpg?lm=1","Gabriel Brazão","https://www.transfermarkt.us/gabriel-brazao/profil/spieler/371247","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/inter-mailand/startseite/verein/46/saison_id/2019","","Inter","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€6.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/371247/transfer_id/2528300"
"20","https://img.a.transfermarkt.technology/portrait/medium/288415-1532676954.jpg?lm=1","Léo Jardim","https://www.transfermarkt.us/leo-jardim/profil/spieler/288415","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/losc-lille/startseite/verein/1082/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1082.png?lm=1529521041","LOSC Lille","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€6.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/288415/transfer_id/2554961"
