"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","flaggenrahmen src 3"
"11","https://img.a.transfermarkt.technology/portrait/medium/627226-1611760579.jpg?lm=1","Reinier","https://www.transfermarkt.us/reinier/profil/spieler/627226","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/real-madrid/startseite/verein/418/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€30.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/627226/transfer_id/2766136",""
"12","https://img.a.transfermarkt.technology/portrait/medium/126665-1602849128.jpg?lm=1","Idrissa Gueye","https://www.transfermarkt.us/idrissa-gueye/profil/spieler/126665","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569","https://www.transfermarkt.us/fc-paris-saint-germain/startseite/verein/583/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/583.png?lm=1522312728","Paris SG","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€30.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/126665/transfer_id/2581231",""
"13","https://img.a.transfermarkt.technology/portrait/medium/282411-1603712126.jpg?lm=1","Marcos Llorente","https://www.transfermarkt.us/marcos-llorente/profil/spieler/282411","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/atletico-madrid/startseite/verein/13/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744","Atlético Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€30.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/282411/transfer_id/2515427",""
"14","https://img.a.transfermarkt.technology/portrait/medium/293385-1617113178.jpg?lm=1","Dani Olmo","https://www.transfermarkt.us/dani-olmo/profil/spieler/293385","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/rasenballsport-leipzig/startseite/verein/23826/saison_id/2019","","RB Leipzig","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€29.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/293385/transfer_id/2772587",""
"15","https://img.a.transfermarkt.technology/portrait/medium/357885-1629883796.jpg?lm=1","Pablo Fornals","https://www.transfermarkt.us/pablo-fornals/profil/spieler/357885","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/west-ham-united/startseite/verein/379/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/379.png?lm=1464675260","West Ham","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€28.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/357885/transfer_id/2507793",""
"16","https://img.a.transfermarkt.technology/portrait/medium/69633-1668184209.jpg?lm=1","Christian Eriksen","https://www.transfermarkt.us/christian-eriksen/profil/spieler/69633","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/39.png?lm=1520611569","https://www.transfermarkt.us/inter-mailand/startseite/verein/46/saison_id/2019","","Inter","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€27.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/69633/transfer_id/2776282",""
"17","https://img.a.transfermarkt.technology/portrait/medium/392775-1554559145.jpg?lm=1","Ryan Sessegnon","https://www.transfermarkt.us/ryan-sessegnon/profil/spieler/392775","Left Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/tottenham-hotspur/startseite/verein/148/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/148.png?lm=1544345801","Tottenham","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€27.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/392775/transfer_id/2597044",""
"18","https://img.a.transfermarkt.technology/portrait/medium/187492-1661413063.jpg?lm=1","Julian Brandt","https://www.transfermarkt.us/julian-brandt/profil/spieler/187492","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/borussia-dortmund/startseite/verein/16/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280","Bor. Dortmund","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/187492/transfer_id/2482926",""
"19","https://img.a.transfermarkt.technology/portrait/medium/182894-1645523827.png?lm=1","Jean-Philippe Gbamin","https://www.transfermarkt.us/jean-philippe-gbamin/profil/spieler/182894","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569","https://www.transfermarkt.us/fc-everton/startseite/verein/29/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/29.png?lm=1445949846","Everton","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/182894/transfer_id/2587041","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569"
"20","https://img.a.transfermarkt.technology/portrait/medium/221025-1666691237.jpg?lm=1","André Gomes","https://www.transfermarkt.us/andre-gomes/profil/spieler/221025","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/fc-everton/startseite/verein/29/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/29.png?lm=1445949846","Everton","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/221025/transfer_id/2523413",""
"21","https://img.a.transfermarkt.technology/portrait/medium/353948-1657098527.jpg?lm=1","Lucas Tousart","https://www.transfermarkt.us/lucas-tousart/profil/spieler/353948","Defensive Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/hertha-bsc/startseite/verein/44/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/44.png?lm=1656580875","Hertha BSC","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/353948/transfer_id/2775365",""
"22","https://img.a.transfermarkt.technology/portrait/medium/326300-1672830844.jpg?lm=1","Jeff Reine-Adélaïde","https://www.transfermarkt.us/jeff-reine-adelaide/profil/spieler/326300","Attacking Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/olympique-lyon/startseite/verein/1041/saison_id/2019","","Olympique Lyon","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/326300/transfer_id/2605957","https://tmssl.akamaized.net/images/flagge/verysmall/207.png?lm=1520611569"
"23","https://img.a.transfermarkt.technology/portrait/medium/333014-1679676693.jpg?lm=1","Sander Berge","https://www.transfermarkt.us/sander-berge/profil/spieler/333014","Central Midfield","https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569","https://www.transfermarkt.us/sheffield-united/startseite/verein/350/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/350.png?lm=1409254138","Sheff Utd","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€23.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/333014/transfer_id/2779338",""
