"name","transfer_fee","Position","club","league","detailed_position"
"Anwar El Ghazi","€9.00m","Forward","Aston Villa","Premier League","Right Winger"
"Alberto Cerri","€9.00m","Forward","Cagliari Calcio","Serie A","Centre-Forward"
"Nicolás López","€9.00m","Forward","Tigres UANL","Liga MX Clausura","Centre-Forward"
"Kenneth Zohore","€8.90m","Forward","West Brom","Championship","Centre-Forward"
"Arvin Appiah","€8.85m","Forward","UD Almería","LaLiga SmartBank","Right Winger"
"Alan Pulido","€8.64m","Forward","Kansas City","MLS","Centre-Forward"
"Chicharito","€8.55m","Forward","Los Angeles","MLS","Centre-Forward"
"Philippe Coutinho","Loan fee:","Forward","Bayern Munich","Bundesliga","Left Winger"
"Takumi Minamino","€8.50m","Forward","Liverpool","Premier League","Left Winger"
"Ihlas Bebou","€8.50m","Forward","TSG Hoffenheim","Bundesliga","Centre-Forward"
"Ignacio Pussetto","€8.50m","Forward","Watford","Premier League","Right Winger"
"Yannick Cotter","€8.30m","Forward","Juventus U19","Primavera 1","Left Winger"
"Alejandro Marqués","€8.20m","Forward","Juventus U23","Serie C-A","Centre-Forward"
"Matías Pellegrini","€8.18m","Forward","Miami","United States","Left Winger"
"David Okereke","€8.16m","Forward","Club Brugge","Jupiler Pro League","Centre-Forward"
"Juanmi","€8.00m","Forward","Real Betis","LaLiga","Left Winger"
"Nicola Sansone","€8.00m","Forward","Bologna","Serie A","Left Winger"
"Wesley Saïd","€8.00m","Forward","Toulouse","Ligue 1","Centre-Forward"
"Silas","€8.00m","Forward","VfB Stuttgart","2. Bundesliga","Right Winger"
"Callum Robinson","€7.80m","Forward","Sheff Utd","Premier League","Centre-Forward"
"Chicharito","€7.75m","Forward","Sevilla FC","LaLiga","Centre-Forward"
"Francesco Caputo","€7.75m","Forward","Sassuolo","Serie A","Centre-Forward"
"Ritsu Doan","€7.50m","Forward","PSV Eindhoven","Eredivisie","Right Winger"
"Javi Ontiveros","€7.50m","Forward","Villarreal","LaLiga","Left Winger"
"George Puscas","€7.50m","Forward","Reading","Championship","Centre-Forward"
"Michael","€7.50m","Forward","Flamengo","Série A","Left Winger"
"Luis Díaz","€7.22m","Forward","FC Porto","Liga NOS","Left Winger"
"Ryan Kent","€7.20m","Forward","Rangers","Premiership","Left Winger"
"Aké Loba","€7.16m","Forward","Monterrey","Liga MX Clausura","Centre-Forward"
"Gabriel Martinelli","€7.10m","Forward","Arsenal","Premier League","Left Winger"
"Bas Dost","€7.00m","Forward","E. Frankfurt","Bundesliga","Centre-Forward"
"Eduardo Salvio","€7.00m","Forward","Boca Juniors","Superliga","Right Winger"
"Vincenzo Grifo","€7.00m","Forward","SC Freiburg","Bundesliga","Left Winger"
"Ivan Ignatjev","€7.00m","Forward","Rubin Kazan","Premier Liga","Centre-Forward"
"Andrea Favilli","€7.00m","Forward","Genoa","Serie A","Centre-Forward"
"Théo Bongonda","€7.00m","Forward","KRC Genk","Jupiler Pro League","Right Winger"
"Kwang-song Han","€7.00m","Forward","Al-Duhail SC","Stars League","Centre-Forward"
"Dawid Kownacki","€6.75m","Forward","F. Düsseldorf","Bundesliga","Centre-Forward"
"Niclas Füllkrug","€6.50m","Forward","Werder Bremen","Bundesliga","Centre-Forward"
"Bryan Mbeumo","€6.50m","Forward","Brentford","Championship","Right Winger"
"Sam Gallagher","€6.50m","Forward","Blackburn","Championship","Centre-Forward"
"Gustavo Bou","€6.36m","Forward","New England","MLS","Centre-Forward"
"Andreas Skov Olsen","€6.00m","Forward","Bologna","Serie A","Right Winger"
"Denis Cheryshev","€6.00m","Forward","Valencia","LaLiga","Left Winger"
"Paul Onuachu","€6.00m","Forward","KRC Genk","Jupiler Pro League","Centre-Forward"
"Kemar Roofe","€6.00m","Forward","RSC Anderlecht","Jupiler Pro League","Centre-Forward"
"Rony","€6.00m","Forward","Palmeiras","Série A","Centre-Forward"
"Michael Krmencik","€6.00m","Forward","Club Brugge","Jupiler Pro League","Centre-Forward"
"Clinton N'Jie","€6.00m","Forward","Dinamo Moscow","Premier Liga","Right Winger"
"Serhou Guirassy","€6.00m","Forward","Amiens SC","Ligue 1","Centre-Forward"
"Enric Gallego","€6.00m","Forward","Getafe","LaLiga","Centre-Forward"
"Robert Glatzel","€6.00m","Forward","Cardiff","Championship","Centre-Forward"
"Andraz Sporar","€6.00m","Forward","Sporting CP","Liga NOS","Centre-Forward"
"Sasa Kalajdzic","€6.00m","Forward","VfB Stuttgart","2. Bundesliga","Centre-Forward"
"Artur","€6.00m","Forward","RB Bragantino","Série A","Right Winger"
"Raúl Moro","€6.00m","Forward","Lazio U19","Primavera 1","Left Winger"
"Ivan Cavaleiro","Loan fee:","Forward","Fulham","Championship","Left Winger"
"Bryan Angulo","€5.80m","Forward","CD Cruz Azul","Liga MX Clausura","Centre-Forward"
"Vedat Muriqi","€5.60m","Forward","Fenerbahce","Süper Lig","Centre-Forward"
"Manu Vallejo","€5.50m","Forward","Valencia","LaLiga","Left Winger"
"Elkeson","€5.50m","Forward","GZ Evergrande","Super League","Centre-Forward"
"Ricardo Lopes","€5.46m","Forward","SH SIPG","Super League","Left Winger"
"Julián Carranza","€5.45m","Forward","Miami","United States","Centre-Forward"
"Dyego Sousa","€5.40m","Forward","SZ FC","Super League","Centre-Forward"
"Lucas João","€5.40m","Forward","Reading","Championship","Centre-Forward"
"Shin-wook Kim","€5.35m","Forward","SH Shenhua","Super League","Centre-Forward"
"Caio Canedo","€5.34m","Forward","Al-Ain FC","UAE Pro League","Centre-Forward"
"Abdulfattah Adam","€5.20m","Forward","Al-Nassr FC","Saudi Pro League","Centre-Forward"
"Derlis González","€5.05m","Forward","Olimpia","Primera División Clausura","Second Striker"
"Martin Braithwaite","€5.00m","Forward","CD Leganés","LaLiga","Centre-Forward"
"Landry Dimata","€5.00m","Forward","RSC Anderlecht","Jupiler Pro League","Centre-Forward"
"Naïm Sliti","€5.00m","Forward","Ettifaq FC","Saudi Pro League","Left Winger"
"Sam Larsson","€5.00m","Forward","DL Pro","Super League","Left Winger"
"Ivan Santini","€5.00m","Forward","JS Suning","Super League","Centre-Forward"
"Darwin Machís","€5.00m","Forward","Granada CF","LaLiga","Left Winger"
"Rafael Camacho","€5.00m","Forward","Sporting CP","Liga NOS","Right Winger"
"Nahki Wells","€4.75m","Forward","Bristol City","Championship","Centre-Forward"
"Félix Correia","€4.55m","Forward","Man City U23","Premier League 2","Left Winger"
"Edison Flores","€4.55m","Forward","D.C. United","MLS","Left Winger"
"Lucas Cavallini","€4.55m","Forward","Vancouver","MLS","Centre-Forward"
"Andy Delort","€4.50m","Forward","Montpellier","Ligue 1","Centre-Forward"
"Anthony Knockaert","Loan fee:","Forward","Fulham","Championship","Right Winger"
"Denis Bouanga","€4.50m","Forward","Saint-Étienne","Ligue 1","Left Winger"
"Jota Peleteiro","€4.50m","Forward","Aston Villa","Premier League","Right Winger"
"Georges-Kevin N'Koudou","€4.50m","Forward","Besiktas","Süper Lig","Left Winger"
"Leonardo Mancuso","€4.50m","Forward","Empoli","Serie B","Centre-Forward"
"Jan Hurtado","€4.43m","Forward","Boca Juniors","Superliga","Centre-Forward"
"Morgan Rogers","€4.40m","Forward","Man City U23","Premier League 2","Left Winger"
"Charlie Austin","€4.30m","Forward","West Brom","Championship","Centre-Forward"
"Adam Buksa","€4.20m","Forward","New England","MLS","Centre-Forward"
"John Mary","€4.10m","Forward","SZ FC","Super League","Centre-Forward"
"Giacomo Vrioni","€4.10m","Forward","Juventus U23","Serie C-A","Centre-Forward"
"Luca Zanimacchia","€4.10m","Forward","Juventus U23","Serie C-A","Right Winger"
"Karl Toko Ekambi","Loan fee:","Forward","Olympique Lyon","Ligue 1","Left Winger"
"Jean-Kévin Augustin","Loan fee:","Forward","Monaco","Ligue 1","Centre-Forward"
"Renaud Emond","€4.00m","Forward","FC Nantes","Ligue 1","Centre-Forward"
"Héctor Villalba","€4.00m","Forward","Libertad","Primera División Clausura","Right Winger"
"Patryk Klimala","€4.00m","Forward","Celtic","Premiership","Centre-Forward"
"Dejan Joveljic","€4.00m","Forward","E. Frankfurt","Bundesliga","Centre-Forward"
"Rubén Vargas","€4.00m","Forward","FC Augsburg","Bundesliga","Left Winger"
"Sergio León","€4.00m","Forward","Levante","LaLiga","Centre-Forward"
"Reziuan Mirzov","€4.00m","Forward","Spartak Moscow","Premier Liga","Left Winger"
"Yannick Gomis","€4.00m","Forward","Guingamp","Ligue 2","Centre-Forward"
"Robert Bozenik","€4.00m","Forward","Feyenoord","Eredivisie","Centre-Forward"
"Kaj Sierhuis","€4.00m","Forward","Stade Reims","Ligue 1","Centre-Forward"
"Jordan Larsson","€4.00m","Forward","Spartak Moscow","Premier Liga","Right Winger"
"Andrea Adorante","€4.00m","Forward","Parma","Serie A","Centre-Forward"
"Oscar Taty Maritu","€3.94m","Forward","SJZ Ever Bright","Super League","Centre-Forward"
"Juan Dinenno","€3.80m","Forward","UNAM Pumas","Liga MX Clausura","Centre-Forward"
"Felipe Avenatti","€3.75m","Forward","Standard Liège","Jupiler Pro League","Centre-Forward"
"Manuel Pucciarelli","€3.75m","Forward","Chievo Verona","Serie B","Second Striker"
"Benjamin Nygren","€3.70m","Forward","KRC Genk","Jupiler Pro League","Right Winger"
"Patrik Schick","Loan fee:","Forward","RB Leipzig","Bundesliga","Centre-Forward"
"Victor Osimhen","€3.50m","Forward","RSC Charleroi","Jupiler Pro League","Centre-Forward"
"Sada Thioub","€3.50m","Forward","Angers SCO","Ligue 1","Right Winger"
"Nikolay Komlichenko","€3.50m","Forward","Dinamo Moscow","Premier Liga","Centre-Forward"
"Efthymios Koulouris","€3.50m","Forward","Toulouse","Ligue 1","Centre-Forward"
"Mariusz Stepinski","€3.50m","Forward","Hellas Verona","Serie A","Centre-Forward"
"Rubén García","€3.50m","Forward","CA Osasuna","LaLiga","Left Winger"
"Kwang-song Han","€3.50m","Forward","Juventus U23","Serie C-A","Centre-Forward"
"Victor Sá","€3.50m","Forward","VfL Wolfsburg","Bundesliga","Left Winger"
"Galeno","€3.50m","Forward","SC Braga","Liga NOS","Left Winger"
"Stephen Odey","€3.50m","Forward","KRC Genk","Jupiler Pro League","Centre-Forward"
"Mounir Chouiar","€3.50m","Forward","Dijon","Ligue 1","Left Winger"
"Jaroslaw Niezgoda","€3.45m","Forward","Portland","MLS","Centre-Forward"
"Marrony","€3.45m","Forward","Atlético-MG","Série A","Right Winger"
"Obbi Oulare","€3.40m","Forward","Standard Liège","Jupiler Pro League","Centre-Forward"
"Maximiliano Lovera","€3.30m","Forward","Olympiacos","Super League 1","Left Winger"
"Quique González","€3.30m","Forward","SD Eibar","LaLiga","Centre-Forward"
"Haroune Camara","€3.30m","Forward","Al-Ittihad Club","Saudi Pro League","Centre-Forward"
"Alexis Saelemaekers","Loan fee:","Forward","AC Milan","Serie A","Right Winger"
"Nicolás Reniero","€3.25m","Forward","Racing Club","Superliga","Centre-Forward"
"Ignacio Jeraldino","€3.07m","Forward","Atlas","Liga MX Clausura","Centre-Forward"
"Patrick Cutrone","Loan fee:","Forward","Fiorentina","Serie A","Centre-Forward"
"Giovanni Simeone","Loan fee:","Forward","Cagliari Calcio","Serie A","Centre-Forward"
"Grégoire Defrel","Loan fee:","Forward","Sassuolo","Serie A","Centre-Forward"
"Yohan Boli","€3.00m","Forward","Al-Rayyan SC","Stars League","Centre-Forward"
"Fiete Arp","€3.00m","Forward","Bayern Munich","Bundesliga","Centre-Forward"
"Jonathan Kodjia","€3.00m","Forward","Al-Gharafa SC","Stars League","Centre-Forward"
"Ezequiel Ponce","€3.00m","Forward","Spartak Moscow","Premier Liga","Centre-Forward"
"Dmitriy Poloz","€3.00m","Forward","Sochi","Premier Liga","Left Winger"
"Benson Manuel Hedilazio","€3.00m","Forward","Royal Antwerp","Jupiler Pro League","Right Winger"
