"name","transfer_fee","Position","club","league"
"Tyler Miller","€182k","GK","Minnesota","MLS"
"Arturo Cheng","€177k","GK","Racing Rioja CF","Spain"
"Andreas Hirzel","€176k","GK","FC Thun","Super League"
"Patrik Demjén","€170k","GK","Zalaegerszeg","NB I."
"Nicholas Bilokapic","€168k","GK","Huddersf. U19","England"
"Andrea Chiossi","€160k","GK","Roma U18","Under 18"
"Adrián Zendejas","€159k","GK","Nashville","United States"
"Nikola Vasiljevic","€150k","GK","Red Star","Super liga"
"Ali Ayari","€150k","GK","CA Bizertin","Ligue I Pro"
"Davor Matijas","€150k","GK","Royal Antwerp","Jupiler Pro League"
"Matevz Dajcar","€150k","GK","Atalanta U19","Primavera 1"
"Asmir Begovic","Loan fee:","GK","AC Milan","Serie A"
"Lucas Pirard","€125k","GK","Waasl.-Beveren","Jupiler Pro League"
"Gentian Selmani","€120k","GK","Menemenspor","1.Lig"
"Berkin Özgür","€120k","GK","Basaksehir Yth","Turkey"
"Mohamed Baayou","€106k","GK","FAR Rabat","Botola Pro Inwi"
"Aleksandr Melikhov","€100k","GK","Akhmat Grozny","Premier Liga"
"Maksim Rudakov","€100k","GK","Rostov","Premier Liga"
"Tomas Tujvel","€100k","GK","Honvéd","NB I."
"Óscar Whalley","€100k","GK","OFI Crete FC","Super League 1"
"Chituru Odunze","€100k","GK","Leicester U18","U18 Premier League"
"Mattia Chiesa","€93k","GK","Hellas Verona","Serie A"
"Lawrence Ati Zigi","€90k","GK","FC St. Gallen","Super League"
"Max Williams","€88k","GK","Salford U18","England"
"Aissa Sioudi","€75k","GK","Wydad AC","Botola Pro Inwi"
"Andrew Tarbell","€68k","GK","Columbus Crew","MLS"
"Zhe Chen","€65k","GK","SC Jiuniu","League Two B"
"Liam Kelly","€60k","GK","QPR","Championship"
"Simone Colombi","€51k","GK","Parma","Serie A"
"Dimitris Dimitriou","€50k","GK","Apol. Limassol","Protathlima Cyta"
"Avdo Spahic","€50k","GK","1.FC K'lautern","3. Liga"
"Manu García","€50k","GK","Ponferradina","LaLiga SmartBank"
"Islam Tarek","€50k","GK","El Gouna","Premier League"
"Gabriele Chingari","€50k","GK","Atletico Fiuggi","Serie D - F"
