"name","transfer_fee","Position","club","league","detailed_position"
"Rogério","€6.95m","Defence","Sassuolo","Serie A","Left-Back"
"James Justin","€6.70m","Defence","Leicester","Premier League","Right-Back"
"Iago","€6.50m","Defence","FC Augsburg","Bundesliga","Left-Back"
"Domagoj Bradaric","€6.50m","Defence","LOSC Lille","Ligue 1","Left-Back"
"Matías Viña","€6.25m","Defence","Palmeiras","Série A","Left-Back"
"Pontus Jansson","€6.15m","Defence","Brentford","Championship","Centre-Back"
"Lucas Lima","€6.00m","Defence","Al-Ahli SFC","Saudi Pro League","Left-Back"
"Craig Dawson","€6.00m","Defence","Watford","Premier League","Centre-Back"
"Stefano Denswil","€6.00m","Defence","Bologna","Serie A","Centre-Back"
"Michael Hector","€5.90m","Defence","Fulham","Championship","Centre-Back"
"Vitor Hugo","€5.50m","Defence","Palmeiras","Série A","Centre-Back"
"Renzo Saravia","€5.50m","Defence","FC Porto","Liga NOS","Right-Back"
"Ronaël Pierre-Gabriel","€5.50m","Defence","1.FSV Mainz 05","Bundesliga","Right-Back"
"Emil Krafth","€5.40m","Defence","Newcastle","Premier League","Right-Back"
"Laurent Koscielny","€5.00m","Defence","G. Bordeaux","Ligue 1","Centre-Back"
"Valentin Rosier","€5.00m","Defence","Sporting CP","Liga NOS","Right-Back"
"Christian Luyindama","€5.00m","Defence","Galatasaray","Süper Lig","Centre-Back"
"Rúben Vezo","€5.00m","Defence","Levante","LaLiga","Centre-Back"
"Kenneth Omeruo","€5.00m","Defence","CD Leganés","LaLiga","Centre-Back"
"Kik Pierie","€5.00m","Defence","Ajax","Eredivisie","Centre-Back"
"Daley Sinkgraven","€5.00m","Defence","B. Leverkusen","Bundesliga","Left-Back"
"Rasmus Kristensen","€5.00m","Defence","RB Salzburg","Bundesliga","Right-Back"
"Marcus Danielson","€5.00m","Defence","DL Pro","Super League","Centre-Back"
"Mert Müldür","€4.70m","Defence","Sassuolo","Serie A","Right-Back"
"Lennart Czyborra","€4.60m","Defence","Atalanta BC","Serie A","Left-Back"
"Alexander Djiku","€4.50m","Defence","R. Strasbourg","Ligue 1","Centre-Back"
"Fabio Depaoli","€4.50m","Defence","Sampdoria","Serie A","Right-Back"
"Michael Ngadeu","€4.50m","Defence","KAA Gent","Jupiler Pro League","Centre-Back"
"Modibo Sagnan","€4.50m","Defence","Real Sociedad","LaLiga","Centre-Back"
"Rúben Semedo","€4.50m","Defence","Olympiacos","Super League 1","Centre-Back"
"Aden Flint","€4.45m","Defence","Cardiff","Championship","Centre-Back"
"Tommy Smith","€4.45m","Defence","Stoke City","Championship","Right-Back"
"Jack Stacey","€4.45m","Defence","Bournemouth","Premier League","Right-Back"
"Juan Escobar","€4.40m","Defence","CD Cruz Azul","Liga MX Clausura","Right-Back"
"Dmitriy Skopintsev","€4.30m","Defence","Dinamo Moscow","Premier Liga","Left-Back"
"Mert Cetin","€4.30m","Defence","AS Roma","Serie A","Centre-Back"
"Sam McCallum","€4.15m","Defence","Norwich","Premier League","Left-Back"
"Marc Cucurella","€4.00m","Defence","Barcelona","LaLiga","Left-Back"
"Kevin Danso","Loan fee:","Defence","Southampton","Premier League","Centre-Back"
"Björn Engels","€4.00m","Defence","Stade Reims","Ligue 1","Centre-Back"
"Jonathan Schmid","€4.00m","Defence","SC Freiburg","Bundesliga","Right-Back"
"Raúl Albiol","€4.00m","Defence","Villarreal","LaLiga","Centre-Back"
"Dylan Bronn","€4.00m","Defence","FC Metz","Ligue 1","Centre-Back"
"Tamás Kádár","€4.00m","Defence","SD Luneng","Super League","Centre-Back"
"Miha Mevlja","€4.00m","Defence","Sochi","Premier Liga","Centre-Back"
"Dimitrios Nikolaou","€4.00m","Defence","Empoli","Serie B","Centre-Back"
"Bosko Sutalo","€4.00m","Defence","Atalanta BC","Serie A","Centre-Back"
"Tiago Djaló","€4.00m","Defence","LOSC Lille","Ligue 1","Centre-Back"
"Mattias Andersson","€4.00m","Defence","FC Sion","Super League","Centre-Back"
"Vitão","€4.00m","Defence","Shakhtar D.","Premier Liga","Centre-Back"
"Matt Clarke","€3.90m","Defence","Brighton","Premier League","Centre-Back"
"Odilon Kossounou","€3.85m","Defence","Club Brugge","Jupiler Pro League","Centre-Back"
"Carlos Cuesta","€3.80m","Defence","KRC Genk","Jupiler Pro League","Centre-Back"
"Julian Chabot","€3.70m","Defence","Sampdoria","Serie A","Centre-Back"
"Paulo Díaz","€3.60m","Defence","River Plate","Superliga","Centre-Back"
"Victor Nelsson","€3.60m","Defence","FC Copenhagen","Superligaen Championship round","Centre-Back"
"Alexis Peña","€3.60m","Defence","Chivas","Liga MX Clausura","Centre-Back"
"Alex Ferrari","€3.60m","Defence","Sampdoria","Serie A","Centre-Back"
"Marco Friedl","€3.50m","Defence","Werder Bremen","Bundesliga","Centre-Back"
"Pawel Dawidowicz","€3.50m","Defence","Hellas Verona","Serie A","Centre-Back"
"Johan Vásquez","€3.50m","Defence","UNAM Pumas","Liga MX Clausura","Centre-Back"
"Erasmo Mulè","€3.50m","Defence","Juventus U23","Serie C-A","Centre-Back"
"Domingos Duarte","€3.49m","Defence","Granada CF","LaLiga","Centre-Back"
"Kortney Hause","€3.40m","Defence","Aston Villa","Premier League","Centre-Back"
"Filip Helander","€3.35m","Defence","Rangers","Premiership","Centre-Back"
"Ethan Pinnock","€3.35m","Defence","Brentford","Championship","Centre-Back"
"Boli Bolingoli","€3.34m","Defence","Celtic","Premiership","Left-Back"
"Alexander Barboza","€3.30m","Defence","Independiente","Superliga","Centre-Back"
"Nicolas Gavory","€3.10m","Defence","Standard Liège","Jupiler Pro League","Left-Back"
"Marcano","€3.08m","Defence","FC Porto","Liga NOS","Centre-Back"
"Chris Smalling","Loan fee:","Defence","AS Roma","Serie A","Centre-Back"
"Koffi Djidji","€3.00m","Defence","Torino","Serie A","Centre-Back"
"Egor Sorokin","€3.00m","Defence","Krasnodar","Premier Liga","Centre-Back"
"Lisandro López","€3.00m","Defence","Boca Juniors","Copa Maradona","Centre-Back"
"Dario Maresic","€3.00m","Defence","Stade Reims","Ligue 1","Centre-Back"
"Elmir Nabiullin","€3.00m","Defence","Sochi","Premier Liga","Left-Back"
"Allan Nyom","€3.00m","Defence","Getafe","LaLiga","Right-Back"
"Pedro Bigas","€3.00m","Defence","SD Eibar","LaLiga","Centre-Back"
"Luis Advíncula","€3.00m","Defence","Rayo Vallecano","LaLiga SmartBank","Right-Back"
"Kaio","€3.00m","Defence","Krasnodar","Premier Liga","Centre-Back"
"Gonçalo Cardoso","€3.00m","Defence","West Ham U21","Premier League 2","Centre-Back"
"Federico Ricca","€3.00m","Defence","Club Brugge","Jupiler Pro League","Centre-Back"
"Fabien Centonze","€3.00m","Defence","FC Metz","Ligue 1","Right-Back"
"Igor","€3.00m","Defence","SPAL","Serie A","Centre-Back"
"Reinildo Mandava","€3.00m","Defence","LOSC Lille","Ligue 1","Left-Back"
"Marco Sala","€3.00m","Defence","Sassuolo","Serie A","Left-Back"
"Alessandro Minelli","€2.91m","Defence","Juventus U23","Serie C-A","Centre-Back"
"Arnaud Souquet","€2.80m","Defence","Montpellier","Ligue 1","Right-Back"
"Jonathan Silva","€2.70m","Defence","CD Leganés","LaLiga","Left-Back"
"Mattia Bani","€2.70m","Defence","Bologna","Serie A","Centre-Back"
"Nicolás Freire","€2.70m","Defence","UNAM Pumas","Liga MX Clausura","Centre-Back"
"Karlo Bartolec","€2.67m","Defence","FC Copenhagen","Superligaen Championship round","Right-Back"
"Lucas Hernández","€2.65m","Defence","Atlético-MG","Série A","Left-Back"
"Rui Yu","€2.60m","Defence","SH SIPG","Super League","Centre-Back"
"Gianluca Frabotta","€2.60m","Defence","Juventus U23","Serie C-A","Left-Back"
"Fan Yang","€2.57m","Defence","BJ Guoan","Super League","Centre-Back"
"Djibril Sidibé","Loan fee:","Defence","Everton","Premier League","Right-Back"
"Víctor Ruiz","€2.50m","Defence","Besiktas","Süper Lig","Centre-Back"
"Cristian Ansaldi","€2.50m","Defence","Torino","Serie A","Left-Back"
"Simon Deli","€2.50m","Defence","Club Brugge","Jupiler Pro League","Centre-Back"
"Marvin Friedrich","€2.50m","Defence","Union Berlin","Bundesliga","Centre-Back"
"Dmitriy Zhivoglyadov","€2.50m","Defence","Loko Moscow","Premier Liga","Right-Back"
"Guilherme Arana","Loan fee:","Defence","Atlético-MG","Série A","Left-Back"
"Oleksandr Karavaev","€2.50m","Defence","Dynamo Kyiv","Premier Liga","Right-Back"
"Luca Itter","€2.50m","Defence","SC Freiburg","Bundesliga","Left-Back"
"Agustín Rogel","€2.50m","Defence","Toulouse","Ligue 1","Centre-Back"
"Murilo","€2.50m","Defence","Loko Moscow","Premier Liga","Centre-Back"
"Nicholas Rizzo","€2.50m","Defence","Genoa","Serie A","Centre-Back"
"Matteo Darmian","€2.48m","Defence","Parma","Serie A","Right-Back"
"Jay Dasilva","€2.40m","Defence","Bristol City","Championship","Left-Back"
"Hamdan Al-Shammrani","€2.40m","Defence","Al-Ittihad Club","Saudi Pro League","Left-Back"
"Abner","€2.40m","Defence","Athletico-PR","Série A","Left-Back"
"Edoardo Masciangelo","€2.34m","Defence","Pescara","Serie B","Left-Back"
"Sebastián Cáceres","€2.30m","Defence","América","Liga MX Clausura","Centre-Back"
"Jeremy Toljan","Loan fee:","Defence","Sassuolo","Serie A","Right-Back"
"Marco Varnier","€2.25m","Defence","Atalanta BC","Serie A","Centre-Back"
"Liam Lindsay","€2.25m","Defence","Stoke City","Championship","Centre-Back"
"Nicolás Figal","€2.22m","Defence","Miami","MLS","Centre-Back"
"Carl Jenkinson","€2.20m","Defence","Nottm Forest","Championship","Right-Back"
"Antonee Robinson","€2.20m","Defence","Wigan","Championship","Left-Back"
"Matteo Lovato","€2.20m","Defence","Hellas Verona","Serie A","Centre-Back"
"Anfernee Dijksteel","€2.20m","Defence","Middlesbrough","Championship","Right-Back"
"Amir Rrahmani","€2.10m","Defence","Hellas Verona","Serie A","Centre-Back"
"Gianluca Mancini","Loan fee:","Defence","AS Roma","Serie A","Centre-Back"
"Danny Rose","Loan fee:","Defence","Newcastle","Premier League","Left-Back"
"Angeliño","Loan fee:","Defence","RB Leipzig","Bundesliga","Left-Back"
"Pol Lirola","Loan fee:","Defence","Fiorentina","Serie A","Right-Back"
"Marc Cucurella","€2.00m","Defence","SD Eibar","LaLiga","Left-Back"
"Marius Wolf","Loan fee:","Defence","Hertha BSC","Bundesliga","Right-Back"
"Sergi Palencia","€2.00m","Defence","Saint-Étienne","Ligue 1","Right-Back"
"Zanka","€2.00m","Defence","Fenerbahce","Süper Lig","Centre-Back"
"Reece Oxford","€2.00m","Defence","FC Augsburg","Bundesliga","Centre-Back"
"Fabrizio Angileri","€2.00m","Defence","River Plate","Superliga","Left-Back"
"Bruno Ecuele Manga","€2.00m","Defence","Dijon","Ligue 1","Centre-Back"
"Jorge Sáenz","€2.00m","Defence","Valencia","LaLiga","Centre-Back"
"Gen Shoji","€2.00m","Defence","Gamba Osaka","J1 League","Centre-Back"
"Olivier Boscagli","€2.00m","Defence","PSV Eindhoven","Eredivisie","Centre-Back"
"Daniel Carriço","€2.00m","Defence","WH Zall","Super League","Centre-Back"
"Romario Benzar","€2.00m","Defence","Lecce","Serie A","Right-Back"
"Emil Krafth","€2.00m","Defence","Amiens SC","Ligue 1","Right-Back"
"Ewerton","€2.00m","Defence","Hamburger SV","2. Bundesliga","Centre-Back"
"Kingsley Ehizibue","€2.00m","Defence","1. FC Köln","Bundesliga","Right-Back"
"Jean-Kévin Duverne","€2.00m","Defence","Stade Brestois","Ligue 1","Left-Back"
"Danilo Avelar","€2.00m","Defence","Corinthians","Série A","Left-Back"
"Marvin Zeegelaar","€2.00m","Defence","Udinese Calcio","Serie A","Left-Back"
"Romain Perraud","€2.00m","Defence","Stade Brestois","Ligue 1","Left-Back"
"Ivan Novoseltsev","€2.00m","Defence","Sochi","Premier Liga","Centre-Back"
"Hyun-soo Jang","€2.00m","Defence","Al-Hilal SFC","Saudi Pro League","Centre-Back"
"Eduard Sobol","Loan fee:","Defence","Club Brugge","Jupiler Pro League","Left-Back"
"Danil Krugovoy","€2.00m","Defence","Zenit S-Pb","Premier Liga","Left-Back"
"Bryan Okoh","€2.00m","Defence","RB Salzburg","Bundesliga","Centre-Back"
"Sepp van den Berg","€1.90m","Defence","Liverpool","Premier League","Centre-Back"
"Xiaoxiao Zhang","€1.90m","Defence","SZ FC Res.","China","Defence"
"Matteo Pinelli","€1.88m","Defence","Sassuolo U19","Primavera 1","Left-Back"
"Yeimar Gómez Andrade","€1.82m","Defence","Seattle","MLS","Centre-Back"
"Ali Adnan","€1.82m","Defence","Vancouver","MLS","Left-Back"
"Tim Leibold","€1.80m","Defence","Hamburger SV","2. Bundesliga","Left-Back"
"Felipe Aguilar","€1.80m","Defence","Athletico-PR","Série A","Centre-Back"
"Ales Mateju","€1.80m","Defence","Brescia","Serie A","Right-Back"
"José Madueña","€1.80m","Defence","Chivas","Liga MX Clausura","Right-Back"
"Thiago Martins","€1.80m","Defence","Yokohama F. M.","J1 League","Centre-Back"
"Miguel Barbieri","€1.80m","Defence","Club Tijuana","Liga MX Clausura","Centre-Back"
"Johan Vásquez","€1.80m","Defence","Monterrey","Liga MX Clausura","Centre-Back"
"Félix Torres","€1.80m","Defence","Santos Laguna","Liga MX Clausura","Centre-Back"
