"name","transfer_fee","Position","club","league","detailed_position"
"Robert Skov","€10.00m","Midfield","TSG Hoffenheim","Bundesliga","Right Midfield"
"Santiago Ascacíbar","€10.00m","Midfield","Hertha BSC","Bundesliga","Defensive Midfield"
"Josh Brownhill","€10.00m","Midfield","Burnley","Premier League","Central Midfield"
"Hannibal","€10.00m","Midfield","Man Utd U18","U18 Premier League","Attacking Midfield"
"Fernando","€9.60m","Midfield","BJ Guoan","Super League","Defensive Midfield"
"Fabian Delph","€9.50m","Midfield","Everton","Premier League","Central Midfield"
"Téji Savanier","€9.50m","Midfield","Montpellier","Ligue 1","Attacking Midfield"
"Mateus Uribe","€9.50m","Midfield","FC Porto","Liga NOS","Defensive Midfield"
"André Carrillo","€9.50m","Midfield","Al-Hilal SFC","Saudi Pro League","Attacking Midfield"
"Nadiem Amiri","€9.00m","Midfield","B. Leverkusen","Bundesliga","Central Midfield"
"Tonny Vilhena","€9.00m","Midfield","Krasnodar","Premier Liga","Central Midfield"
"Flavien Tait","€9.00m","Midfield","Rennes","Ligue 1","Central Midfield"
"Bobby De Cordova-Reid","€8.90m","Midfield","Fulham","Championship","Attacking Midfield"
"Bruno Jordão","€8.90m","Midfield","Wolves","Premier League","Central Midfield"
"Rade Krunic","€8.60m","Midfield","AC Milan","Serie A","Central Midfield"
"Dominik Kohr","€8.50m","Midfield","E. Frankfurt","Bundesliga","Central Midfield"
"Nicolás Domínguez","€8.48m","Midfield","Bologna","Serie A","Central Midfield"
"Krystian Bielik","€8.20m","Midfield","Derby","Championship","Defensive Midfield"
"Roberto Soriano","€8.00m","Midfield","Bologna","Serie A","Attacking Midfield"
"Michaël Cuisance","€8.00m","Midfield","Bayern Munich","Bundesliga","Central Midfield"
"Ludovic Blas","€8.00m","Midfield","FC Nantes","Ligue 1","Attacking Midfield"
"Ivan Sunjic","€8.00m","Midfield","Birmingham","Championship","Defensive Midfield"
"Han-Noah Massengo","€8.00m","Midfield","Bristol City","Championship","Central Midfield"
"Jean Lucas","€8.00m","Midfield","Olympique Lyon","Ligue 1","Central Midfield"
"Edimilson Fernandes","€7.50m","Midfield","1.FSV Mainz 05","Bundesliga","Central Midfield"
"Pedro Obiang","€7.50m","Midfield","Sassuolo","Serie A","Central Midfield"
"Mamadou Loum","€7.50m","Midfield","FC Porto","Liga NOS","Defensive Midfield"
"Gustavo Cuéllar","€7.40m","Midfield","Al-Hilal SFC","Saudi Pro League","Defensive Midfield"
"Lucas Zelarayán","€7.27m","Midfield","Columbus Crew","MLS","Attacking Midfield"
"Jesús Angulo","€7.20m","Midfield","Chivas","Liga MX Clausura","Attacking Midfield"
"Benjamin André","€7.00m","Midfield","LOSC Lille","Ligue 1","Defensive Midfield"
"Eduard Löwen","€7.00m","Midfield","Hertha BSC","Bundesliga","Central Midfield"
"Matheus Fernandes","€7.00m","Midfield","Barcelona","LaLiga","Defensive Midfield"
"Michel Vlap","€6.90m","Midfield","RSC Anderlecht","Jupiler Pro League","Attacking Midfield"
"Adem Ljajić","€6.50m","Midfield","Besiktas","Süper Lig","Attacking Midfield"
"Richard Sánchez","€6.35m","Midfield","América","Liga MX Clausura","Central Midfield"
"Filip Kostić","€6.30m","Midfield","E. Frankfurt","Bundesliga","Left Midfield"
"Luis Romo","€6.20m","Midfield","CD Cruz Azul","Liga MX Clausura","Defensive Midfield"
"Ellyes Skhiri","€6.00m","Midfield","1. FC Köln","Bundesliga","Defensive Midfield"
"Luiz Gustavo","€6.00m","Midfield","Fenerbahce","Süper Lig","Defensive Midfield"
"Walace","€6.00m","Midfield","Udinese Calcio","Serie A","Defensive Midfield"
"Lukas Lerager","€6.00m","Midfield","Genoa","Serie A","Central Midfield"
"Christian Cueva","€6.00m","Midfield","Santos","Série A","Attacking Midfield"
"Alfred N'Diaye","€6.00m","Midfield","Al-Shabab","Saudi Pro League","Defensive Midfield"
"Victorien Angban","€6.00m","Midfield","FC Metz","Ligue 1","Central Midfield"
"Robert Navarro","€6.00m","Midfield","Real Sociedad B","2ª B - Grupo II","Attacking Midfield"
"Luke Freeman","€5.60m","Midfield","Sheff Utd","Premier League","Attacking Midfield"
"Sebastian Szymanski","€5.50m","Midfield","Dinamo Moscow","Premier Liga","Attacking Midfield"
"Carlos Gruezo","€5.50m","Midfield","FC Augsburg","Bundesliga","Defensive Midfield"
"Fernando","Loan fee:","Midfield","BJ Guoan","Super League","Defensive Midfield"
"Bruno Jordão","€5.30m","Midfield","Lazio","Serie A","Central Midfield"
"Chiquinho","€5.25m","Midfield","Benfica","Liga NOS","Attacking Midfield"
"Patrik Hrosovsky","€5.20m","Midfield","KRC Genk","Jupiler Pro League","Central Midfield"
"Ivan Perisic","Loan fee:","Midfield","Bayern Munich","Bundesliga","Left Midfield"
"Luan","€5.00m","Midfield","Corinthians","Série A","Attacking Midfield"
"Moisés","€5.00m","Midfield","SD Luneng","Super League","Central Midfield"
"Pep Biel","€5.00m","Midfield","FC Copenhagen","Superligaen Championship round","Attacking Midfield"
"Gonzalo Villar","€5.00m","Midfield","AS Roma","Serie A","Central Midfield"
"Enzo Barrenechea","€4.87m","Midfield","Juventus U19","Primavera 1","Defensive Midfield"
"Ianis Hagi","€4.70m","Midfield","KRC Genk","Jupiler Pro League","Attacking Midfield"
"Gastón Pereiro","€4.60m","Midfield","Cagliari Calcio","Serie A","Attacking Midfield"
"Gedson Fernandes","Loan fee:","Midfield","Tottenham","Premier League","Central Midfield"
"Tomas Soucek","Loan fee:","Midfield","West Ham","Premier League","Defensive Midfield"
"Fernando","€4.50m","Midfield","Sevilla FC","LaLiga","Defensive Midfield"
"Lucien Agoumé","€4.50m","Midfield","Inter","Serie A","Defensive Midfield"
"Juan Pablo Vigón","€4.50m","Midfield","UNAM Pumas","Liga MX Clausura","Central Midfield"
"Pol Fernández","€4.43m","Midfield","CD Cruz Azul","Liga MX Clausura","Central Midfield"
"Ángelo Araos","€4.10m","Midfield","Corinthians","Série A","Attacking Midfield"
"Gastón Giménez","€4.09m","Midfield","Chicago","MLS","Defensive Midfield"
"Guido Rodríguez","€4.00m","Midfield","Real Betis","LaLiga","Defensive Midfield"
"Alessandro Murgia","€4.00m","Midfield","SPAL","Serie A","Central Midfield"
"Jonas Martin","€4.00m","Midfield","Rennes","Ligue 1","Defensive Midfield"
"Manu García","€4.00m","Midfield","Sporting Gijón","LaLiga SmartBank","Attacking Midfield"
"Birger Verstraete","€4.00m","Midfield","1. FC Köln","Bundesliga","Defensive Midfield"
"Edu Expósito","€4.00m","Midfield","SD Eibar","LaLiga","Central Midfield"
"Nicolae Stanciu","€4.00m","Midfield","Slavia Prague","Fortuna Liga","Attacking Midfield"
"Sebastian Rode","€4.00m","Midfield","E. Frankfurt","Bundesliga","Central Midfield"
"Mubarak Wakaso","€4.00m","Midfield","JS Suning","Super League","Central Midfield"
"Lamine Fomba","€4.00m","Midfield","Nîmes Olympique","Ligue 1","Defensive Midfield"
"Lucas Romero","€4.00m","Midfield","Independiente","Superliga","Defensive Midfield"
"Anderson Niangbo","€4.00m","Midfield","KAA Gent","Jupiler Pro League","Attacking Midfield"
"Hicham Boudaoui","€4.00m","Midfield","OGC Nice","Ligue 1","Central Midfield"
"Pawel Jaroszynski","€4.00m","Midfield","Genoa","Serie A","Left Midfield"
"Ben Osborn","€3.90m","Midfield","Sheff Utd","Premier League","Left Midfield"
"Mathias Jensen","€3.80m","Midfield","Brentford","Championship","Central Midfield"
"Danijel Aleksic","€3.80m","Midfield","Al-Ahli SFC","Saudi Pro League","Attacking Midfield"
"Kasey Palmer","€3.80m","Midfield","Bristol City","Championship","Attacking Midfield"
"Jaromir Zmrhal","€3.75m","Midfield","Brescia","Serie A","Left Midfield"
"Sofyan Amrabat","€3.65m","Midfield","Hellas Verona","Serie A","Defensive Midfield"
"Gonzalo Melero","€3.60m","Midfield","Levante","LaLiga","Central Midfield"
"Ryad Boudebouz","€3.50m","Midfield","Saint-Étienne","Ligue 1","Attacking Midfield"
"Sofiane Hanni","€3.50m","Midfield","Al-Gharafa SC","Stars League","Attacking Midfield"
"Mohamed Fares","€3.50m","Midfield","SPAL","Serie A","Left Midfield"
"Anderson Esiti","€3.50m","Midfield","PAOK Salonika","Super League 1","Defensive Midfield"
"Allan","€3.50m","Midfield","Atlético-MG","Série A","Defensive Midfield"
"Christian Nörgaard","€3.50m","Midfield","Brentford","Championship","Defensive Midfield"
"Jesús Angulo","€3.50m","Midfield","Necaxa","Liga MX Clausura","Attacking Midfield"
"Aaron Mooy","€3.30m","Midfield","Brighton","Premier League","Central Midfield"
"James McCarthy","€3.30m","Midfield","Crystal Palace","Premier League","Central Midfield"
"Ludovit Reis","€3.25m","Midfield","Barcelona B","2ª B - Grupo III","Central Midfield"
"Romaine Sawyers","€3.20m","Midfield","West Brom","Championship","Attacking Midfield"
"Franck Kom","€3.16m","Midfield","Al-Rayyan SC","Stars League","Defensive Midfield"
"Robert Andrich","€3.15m","Midfield","Union Berlin","Bundesliga","Defensive Midfield"
"Henrikh Mkhitaryan","Loan fee:","Midfield","AS Roma","Serie A","Attacking Midfield"
"Mehdi Léris","€3.10m","Midfield","Sampdoria","Serie A","Right Midfield"
"Enzo Barrenechea","€3.10m","Midfield","FC Sion","Super League","Defensive Midfield"
"Stefano Palmucci","€3.09m","Midfield","Parma U19","Primavera 2 - A","Defensive Midfield"
"Tiemoué Bakayoko","Loan fee:","Midfield","Monaco","Ligue 1","Defensive Midfield"
"Shinji Kagawa","€3.00m","Midfield","Real Zaragoza","LaLiga SmartBank","Attacking Midfield"
"David Kinsombi","€3.00m","Midfield","Hamburger SV","2. Bundesliga","Central Midfield"
"Eduardo Henrique","€3.00m","Midfield","Sporting CP","Liga NOS","Defensive Midfield"
"Gaël Kakuta","€3.00m","Midfield","Amiens SC","Ligue 1","Attacking Midfield"
"Douglas Augusto","€3.00m","Midfield","PAOK Salonika","Super League 1","Central Midfield"
"Philipp Förster","€3.00m","Midfield","VfB Stuttgart","2. Bundesliga","Attacking Midfield"
"Luka Ivanusec","€3.00m","Midfield","Dinamo Zagreb","SuperSport HNL","Attacking Midfield"
"Claudio Baeza","€3.00m","Midfield","Necaxa","Liga MX Clausura","Defensive Midfield"
"Mattia Valoti","€3.00m","Midfield","SPAL","Serie A","Central Midfield"
"Roberto Olabe","€3.00m","Midfield","SD Eibar","LaLiga","Central Midfield"
"Thonny Anderson","€2.85m","Midfield","RB Bragantino","Série A","Attacking Midfield"
"Marco D'Aloia","€2.85m","Midfield","Pescara U19","Primavera 1","Defensive Midfield"
"Bernard Mensah","€2.80m","Midfield","Kayserispor","Süper Lig","Attacking Midfield"
"José Machín","€2.80m","Midfield","Parma","Serie A","Central Midfield"
"José Cifuentes","€2.73m","Midfield","LAFC","MLS","Central Midfield"
"Hany Mukhtar","€2.70m","Midfield","Nashville","MLS","Attacking Midfield"
"Víctor Cantillo","€2.70m","Midfield","Corinthians","Série A","Defensive Midfield"
"Maurits Kjaergaard","€2.70m","Midfield","RB Salzburg","Bundesliga","Central Midfield"
"Shuai Pei","€2.63m","Midfield","SZ FC","Super League","Defensive Midfield"
"Xinli Peng","€2.61m","Midfield","SH Shenhua","Super League","Attacking Midfield"
"Jiali Hu","€2.61m","Midfield","DL Pro Res.","China","Defensive Midfield"
"Yongpo Wang","€2.61m","Midfield","SH Shenhua","Super League","Attacking Midfield"
"Long Zheng","€2.61m","Midfield","DL Pro","Super League","Left Midfield"
"Christian Oliva","€2.60m","Midfield","Cagliari Calcio","Serie A","Defensive Midfield"
"Matías Kranevitter","€2.60m","Midfield","Monterrey","Liga MX Clausura","Defensive Midfield"
"Wei Wu","€2.59m","Midfield","DL Pro","Super League","Defensive Midfield"
"Zhenqin Li","€2.57m","Midfield","BJ Guoan Res.","China","Midfield"
"Gastón Brugman","€2.55m","Midfield","Parma","Serie A","Defensive Midfield"
"Yongpo Wang","€2.51m","Midfield","SZ FC","Super League","Attacking Midfield"
"Eddy Gnahoré","€2.50m","Midfield","Amiens SC","Ligue 1","Central Midfield"
"Evander","€2.50m","Midfield","FC Midtjylland","Superligaen Championship round","Central Midfield"
"Deniz Türüc","€2.50m","Midfield","Fenerbahce","Süper Lig","Right Midfield"
"Jorge Carrascal","€2.50m","Midfield","River Plate","Copa Maradona","Attacking Midfield"
"Philipp Klement","€2.50m","Midfield","VfB Stuttgart","2. Bundesliga","Attacking Midfield"
"Hakon Evjen","€2.50m","Midfield","AZ Alkmaar","Eredivisie","Attacking Midfield"
"Leo Stulac","€2.50m","Midfield","Empoli","Serie B","Defensive Midfield"
"Mats Möller Daehli","€2.50m","Midfield","KRC Genk","Jupiler Pro League","Attacking Midfield"
"Fernando Gorriarán","€2.50m","Midfield","Santos Laguna","Liga MX Clausura","Central Midfield"
"Kevin Agudelo","€2.50m","Midfield","Genoa","Serie A","Attacking Midfield"
"Éder Balanta","€2.40m","Midfield","Club Brugge","Jupiler Pro League","Defensive Midfield"
"Lucas Menossi","€2.40m","Midfield","San Lorenzo","Superliga","Central Midfield"
"Will Vaulks","€2.35m","Midfield","Cardiff","Championship","Defensive Midfield"
"Nicolás Acevedo","€2.30m","Midfield","New York City","MLS","Defensive Midfield"
