"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"Real Madrid","Ferland Mendy","€48.00m","Defence","LaLiga","Left-Back",36,24.7,15,"€896.10m","LaLiga",16,38,10,11,17,"32:51",-19,41
"Real Madrid","Ferland Mendy","€48.00m","Defence","LaLiga","Left-Back",36,24.7,15,"€896.10m","LaLiga",9,38,13,11,14,"45:46",-1,50
"Real Madrid","Ferland Mendy","€48.00m","Defence","LaLiga","Left-Back",36,24.7,15,"€896.10m","LaLiga",3,38,21,5,12,"63:46",17,68
"Real Madrid","'Eder Milit~ao","€50.00m","Defence","LaLiga","Centre-Back",36,24.7,15,"€896.10m","LaLiga",16,38,10,11,17,"32:51",-19,41
"Real Madrid","'Eder Milit~ao","€50.00m","Defence","LaLiga","Centre-Back",36,24.7,15,"€896.10m","LaLiga",9,38,13,11,14,"45:46",-1,50
"Real Madrid","'Eder Milit~ao","€50.00m","Defence","LaLiga","Centre-Back",36,24.7,15,"€896.10m","LaLiga",3,38,21,5,12,"63:46",17,68
"Real Sociedad","Modibo Sagnan","€4.50m","Defence","LaLiga","Centre-Back",33,24.1,9,"€300.95m","LaLiga",10,38,14,8,16,"44:52",-8,50
"SC Freiburg","Luca Itter","€2.50m","Defence","Bundesliga","Left-Back",34,25,8,"€122.10m","Bundesliga",13,34,8,12,14,"46:61",-15,36
"SC Freiburg","Jonathan Schmid","€4.00m","Defence","Bundesliga","Right-Back",34,25,8,"€122.10m","Bundesliga",13,34,8,12,14,"46:61",-15,36
"SD Eibar","Marc Cucurella","€2.00m","Defence","LaLiga","Left-Back",29,27.6,8,"€93.90m","LaLiga",12,38,11,14,13,"46:50",-4,47
"SD Eibar","Pedro Bigas","€3.00m","Defence","LaLiga","Centre-Back",29,27.6,8,"€93.90m","LaLiga",12,38,11,14,13,"46:50",-4,47
"Sevilla","Maximilian W""ober","€10.50m","Defence","LaLiga","Centre-Back",38,26.1,21,"€306.30m","LaLiga",6,38,17,8,13,"62:47",15,59
"Sevilla","Jules Kound'e","€35.00m","Defence","LaLiga","Centre-Back",38,26.1,21,"€306.30m","LaLiga",6,38,17,8,13,"62:47",15,59
"Sevilla","Diego Carlos","€15.00m","Defence","LaLiga","Centre-Back",38,26.1,21,"€306.30m","LaLiga",6,38,17,8,13,"62:47",15,59
"Southampton","Kevin Danso","Loan fee:","Defence","Premier League","Centre-Back",40,24.9,19,"€305.40m","Premier League",16,38,9,12,17,"45:65",-20,39
"SPAL","Igor","€3.00m","Defence","Serie A","Centre-Back",51,25.3,20,"€97.40m","Serie A",13,38,11,9,18,"44:56",-12,42
"SS Lazio","Denis Vavro","€10.50m","Defence","Serie A","Centre-Back",57,24.4,33,"€291.15m","Serie A",8,38,17,8,13,"56:46",10,59
