"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","inline-table src","flaggenrahmen src 3"
"64","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Tomas Kalas","https://www.transfermarkt.us/tomas-kalas/profil/spieler/148657","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/172.png?lm=1520611569","https://www.transfermarkt.us/bristol-city/startseite/verein/698/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/698.png?lm=1571314125","Bristol City","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€9.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/148657/transfer_id/2532420","",""
"65","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","David Luiz","https://www.transfermarkt.us/david-luiz/profil/spieler/46741","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/fc-arsenal/startseite/verein/11/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/11.png?lm=1489787850","Arsenal","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€8.70m","https://www.transfermarkt.us/jumplist/transfers/spieler/46741/transfer_id/2597256","","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569"
"66","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Sebastiaan Bornauw","https://www.transfermarkt.us/sebastiaan-bornauw/profil/spieler/338629","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/1-fc-koln/startseite/verein/3/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/3.png?lm=1656580823","1. FC Köln","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€8.25m","https://www.transfermarkt.us/jumplist/transfers/spieler/338629/transfer_id/2592752","",""
"67","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Merih Demiral","https://www.transfermarkt.us/merih-demiral/profil/spieler/340879","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/174.png?lm=1520611569","https://www.transfermarkt.us/us-sassuolo/startseite/verein/6574/saison_id/2019","","Sassuolo","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/340879/transfer_id/2388102","https://tmssl.akamaized.net/images/wappen/tiny/6574_1595414063.png?lm=1595414011",""
"68","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Fernando Calero","https://www.transfermarkt.us/fernando-calero/profil/spieler/357884","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/espanyol-barcelona/startseite/verein/714/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/714.png?lm=1406966369","Espanyol","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/357884/transfer_id/2597671","",""
"69","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Rubén Peña","https://www.transfermarkt.us/ruben-pena/profil/spieler/238868","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/fc-villarreal/startseite/verein/1050/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1050.png?lm=1408655310","Villarreal","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/238868/transfer_id/2537982","",""
"70","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Ruben Aguilar","https://www.transfermarkt.us/ruben-aguilar/profil/spieler/203746","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/as-monaco/startseite/verein/162/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919","Monaco","https://tmssl.akamaized.net/images/flagge/verysmall/113.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/203746/transfer_id/2593190","","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569"
"71","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Ramy Bensebaini","https://www.transfermarkt.us/ramy-bensebaini/profil/spieler/284732","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/4.png?lm=1520611569","https://www.transfermarkt.us/borussia-monchengladbach/startseite/verein/18/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/18.png?lm=1656585796","Bor. M'gladbach","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/284732/transfer_id/2605690","",""
"72","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Jerry St. Juste","https://www.transfermarkt.us/jerry-st-juste/profil/spieler/288253","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/1-fsv-mainz-05/startseite/verein/39/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/39.png?lm=1564748880","1.FSV Mainz 05","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/288253/transfer_id/2595156","","https://tmssl.akamaized.net/images/flagge/verysmall/225.png?lm=1520611569"
"73","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Björn Engels","https://www.transfermarkt.us/bjorn-engels/profil/spieler/193469","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/aston-villa/startseite/verein/405/saison_id/2019","","Aston Villa","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/193469/transfer_id/2560240","https://tmssl.akamaized.net/images/wappen/tiny/405_1469439248.png?lm=1469439249",""
"74","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Christopher Jullien","https://www.transfermarkt.us/christopher-jullien/profil/spieler/201737","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/celtic-glasgow/startseite/verein/371/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/371.png?lm=1403615766","Celtic","https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569","Premiership","https://www.transfermarkt.us/scottish-premiership/transfers/wettbewerb/SC1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/201737/transfer_id/2527731","",""
"75","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Luan Cândido","https://www.transfermarkt.us/luan-candido/profil/spieler/432166","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/rasenballsport-leipzig/startseite/verein/23826/saison_id/2019","","RB Leipzig","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/432166/transfer_id/2438950","https://tmssl.akamaized.net/images/wappen/tiny/23826_1594040076.png?lm=1594040033",""
"76","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Joseph Aidoo","https://www.transfermarkt.us/joseph-aidoo/profil/spieler/358250","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/54.png?lm=1520611569","https://www.transfermarkt.us/celta-vigo/startseite/verein/940/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/940.png?lm=1406966406","Celta de Vigo","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/358250/transfer_id/2550517","",""
"77","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Vyacheslav Karavaev","https://www.transfermarkt.us/vyacheslav-karavaev/profil/spieler/170620","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","https://www.transfermarkt.us/zenit-st-petersburg/startseite/verein/964/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/964.png?lm=1486195881","Zenit S-Pb","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","Premier Liga","https://www.transfermarkt.us/premier-liga/transfers/wettbewerb/RU1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/170620/transfer_id/2631364","",""
"78","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Erick Cabaco","https://www.transfermarkt.us/erick-cabaco/profil/spieler/302991","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569","https://www.transfermarkt.us/fc-getafe/startseite/verein/3709/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/3709.png?lm=1408655116","Getafe","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€8.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/302991/transfer_id/2782390","","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569"
"79","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Pablo Marí","https://www.transfermarkt.us/pablo-mari/profil/spieler/210178","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/fc-arsenal/startseite/verein/11/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/11.png?lm=1489787850","Arsenal","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/210178/transfer_id/2777579","",""
"80","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Morato","https://www.transfermarkt.us/morato/profil/spieler/673492","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/benfica-lissabon-b/startseite/verein/10330/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/10330.png?lm=1535908439","Benfica B","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","LigaPro","https://www.transfermarkt.us/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2019","€7.60m","https://www.transfermarkt.us/jumplist/transfers/spieler/673492/transfer_id/2632165","",""
"81","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Cristian Calderón","https://www.transfermarkt.us/cristian-calderon/profil/spieler/408534","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","https://www.transfermarkt.us/deportivo-guadalajara/startseite/verein/6711/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/6711.png?lm=1495274616","Chivas","https://tmssl.akamaized.net/images/flagge/verysmall/110.png?lm=1520611569","Liga MX Clausura","https://www.transfermarkt.us/liga-mx-clausura/transfers/wettbewerb/MEX1/saison_id/2019","€7.20m","https://www.transfermarkt.us/jumplist/transfers/spieler/408534/transfer_id/2722955","",""
"82","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Aarón Martín","https://www.transfermarkt.us/aaron-martin/profil/spieler/251878","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/1-fsv-mainz-05/startseite/verein/39/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/39.png?lm=1564748880","1.FSV Mainz 05","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/251878/transfer_id/2305127","",""
"83","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Takehiro Tomiyasu","https://www.transfermarkt.us/takehiro-tomiyasu/profil/spieler/331560","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/77.png?lm=1520611569","https://www.transfermarkt.us/fc-bologna/startseite/verein/1025/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1025.png?lm=1626441324","Bologna","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/331560/transfer_id/2546344","",""
"84","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Marcos Senesi","https://www.transfermarkt.us/marcos-senesi/profil/spieler/469781","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569","https://www.transfermarkt.us/feyenoord-rotterdam/startseite/verein/234/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/234.png?lm=1457643518","Feyenoord","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","Eredivisie","https://www.transfermarkt.us/eredivisie/transfers/wettbewerb/NL1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/469781/transfer_id/2631291","","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569"
"85","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Lisandro Martínez","https://www.transfermarkt.us/lisandro-martinez/profil/spieler/480762","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569","https://www.transfermarkt.us/ajax-amsterdam/startseite/verein/610/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/610.png?lm=1657054414","Ajax","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","Eredivisie","https://www.transfermarkt.us/eredivisie/transfers/wettbewerb/NL1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/480762/transfer_id/2479358","",""
"86","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Léo Pereira","https://www.transfermarkt.us/leo-pereira/profil/spieler/288431","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/614.png?lm=1551023331","Flamengo","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","Série A","https://www.transfermarkt.us/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019","€7.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/288431/transfer_id/2777435","",""
"87","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Rogério","https://www.transfermarkt.us/rogerio/profil/spieler/401527","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/us-sassuolo/startseite/verein/6574/saison_id/2019","","Sassuolo","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€6.95m","https://www.transfermarkt.us/jumplist/transfers/spieler/401527/transfer_id/2530599","https://tmssl.akamaized.net/images/wappen/tiny/6574_1595414063.png?lm=1595414011",""
"88","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","James Justin","https://www.transfermarkt.us/james-justin/profil/spieler/413220","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/leicester-city/startseite/verein/1003/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1003.png?lm=1472229265","Leicester","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€6.70m","https://www.transfermarkt.us/jumplist/transfers/spieler/413220/transfer_id/2528340","","https://tmssl.akamaized.net/images/flagge/verysmall/230.png?lm=1520611569"
"89","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Iago","https://www.transfermarkt.us/iago/profil/spieler/520468","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/fc-augsburg/startseite/verein/167/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/167.png?lm=1656582897","FC Augsburg","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€6.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/520468/transfer_id/2519111","",""
"90","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Domagoj Bradaric","https://www.transfermarkt.us/domagoj-bradaric/profil/spieler/357796","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/37.png?lm=1520611569","https://www.transfermarkt.us/losc-lille/startseite/verein/1082/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1082.png?lm=1529521041","LOSC Lille","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€6.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/357796/transfer_id/2566138","",""
"91","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Matías Viña","https://www.transfermarkt.us/matias-vina/profil/spieler/439072","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569","https://www.transfermarkt.us/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1023.png?lm=1411204983","Palmeiras","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","Série A","https://www.transfermarkt.us/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019","€6.25m","https://www.transfermarkt.us/jumplist/transfers/spieler/439072/transfer_id/2781289","","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569"
"92","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Pontus Jansson","https://www.transfermarkt.us/pontus-jansson/profil/spieler/125314","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/147.png?lm=1520611569","https://www.transfermarkt.us/fc-brentford/startseite/verein/1148/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1148.png?lm=1625150543","Brentford","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€6.15m","https://www.transfermarkt.us/jumplist/transfers/spieler/125314/transfer_id/2545339","",""
"93","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Lucas Lima","https://www.transfermarkt.us/lucas-lima/profil/spieler/182323","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/al-ahli-dschidda/startseite/verein/18487/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/18487.png?lm=1407562631","Al-Ahli SFC","https://tmssl.akamaized.net/images/flagge/verysmall/146.png?lm=1520611569","Saudi Pro League","https://www.transfermarkt.us/saudi-professional-league/transfers/wettbewerb/SA1/saison_id/2019","€6.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/182323/transfer_id/2624232","",""
"94","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Craig Dawson","https://www.transfermarkt.us/craig-dawson/profil/spieler/121477","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/fc-watford/startseite/verein/1010/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1010.png?lm=1468103673","Watford","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€6.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/121477/transfer_id/2531914","",""
"95","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Stefano Denswil","https://www.transfermarkt.us/stefano-denswil/profil/spieler/182923","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569","https://www.transfermarkt.us/fc-bologna/startseite/verein/1025/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1025.png?lm=1626441324","Bologna","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€6.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/182923/transfer_id/2541057","","https://tmssl.akamaized.net/images/flagge/verysmall/161.png?lm=1520611569"
"96","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Michael Hector","https://www.transfermarkt.us/michael-hector/profil/spieler/157490","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/76.png?lm=1520611569","https://www.transfermarkt.us/fc-fulham/startseite/verein/931/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/931.png?lm=1556831687","Fulham","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€5.90m","https://www.transfermarkt.us/jumplist/transfers/spieler/157490/transfer_id/2636254","","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569"
"97","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Vitor Hugo","https://www.transfermarkt.us/vitor-hugo/profil/spieler/149752","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","https://www.transfermarkt.us/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1023.png?lm=1411204983","Palmeiras","https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569","Série A","https://www.transfermarkt.us/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019","€5.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/149752/transfer_id/2581011","",""
"98","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Renzo Saravia","https://www.transfermarkt.us/renzo-saravia/profil/spieler/268642","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569","https://www.transfermarkt.us/fc-porto/startseite/verein/720/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/720.png?lm=1486310161","FC Porto","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","Liga NOS","https://www.transfermarkt.us/liga-nos/transfers/wettbewerb/PO1/saison_id/2019","€5.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/268642/transfer_id/2501342","",""
"99","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Ronaël Pierre-Gabriel","https://www.transfermarkt.us/ronael-pierre-gabriel/profil/spieler/410185","Right-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/1-fsv-mainz-05/startseite/verein/39/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/39.png?lm=1564748880","1.FSV Mainz 05","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€5.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/410185/transfer_id/2507016","","https://tmssl.akamaized.net/images/flagge/verysmall/207.png?lm=1520611569"
