"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","inline-table","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href","inline-table src","flaggenrahmen src 3"
"11","https://img.a.transfermarkt.technology/portrait/medium/411975-1662585791.jpg?lm=1","Jules Koundé","https://www.transfermarkt.us/jules-kounde/profil/spieler/411975","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/fc-sevilla/startseite/verein/368/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/368.png?lm=1408655455","Sevilla FC","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€35.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/411975/transfer_id/2535779","","https://tmssl.akamaized.net/images/flagge/verysmall/21.png?lm=1520611569"
"12","https://img.a.transfermarkt.technology/portrait/medium/229005-1663686714.jpg?lm=1","Abdou Diallo","https://www.transfermarkt.us/abdou-diallo/profil/spieler/229005","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/149.png?lm=1520611569","https://www.transfermarkt.us/fc-paris-saint-germain/startseite/verein/583/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/583.png?lm=1522312728","Paris SG","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€32.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/229005/transfer_id/2559855","","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569"
"13","https://img.a.transfermarkt.technology/portrait/medium/355915-1665609429.jpg?lm=1","Cristian Romero","https://www.transfermarkt.us/cristian-romero/profil/spieler/355915","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569","https://www.transfermarkt.us/juventus-turin/startseite/verein/506/saison_id/2019","","Juventus","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€31.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/355915/transfer_id/2552693","https://tmssl.akamaized.net/images/wappen/tiny/506_1539955489.png?lm=1539955489",""
"14","https://img.a.transfermarkt.technology/portrait/medium/39728-1661413275.jpg?lm=1","Mats Hummels","https://www.transfermarkt.us/mats-hummels/profil/spieler/39728","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/borussia-dortmund/startseite/verein/16/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280","Bor. Dortmund","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€30.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/39728/transfer_id/2513973","",""
"15","https://img.a.transfermarkt.technology/portrait/medium/495666-1665127395.jpg?lm=1","William Saliba","https://www.transfermarkt.us/william-saliba/profil/spieler/495666","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/fc-arsenal/startseite/verein/11/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/11.png?lm=1489787850","Arsenal","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€30.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/495666/transfer_id/2574513","","https://tmssl.akamaized.net/images/flagge/verysmall/31.png?lm=1520611569"
"16","https://img.a.transfermarkt.technology/portrait/medium/118689-1663580982.jpg?lm=1","Leonardo Spinazzola","https://www.transfermarkt.us/leonardo-spinazzola/profil/spieler/118689","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/as-rom/startseite/verein/12/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/12.png?lm=1533302889","AS Roma","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€29.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/118689/transfer_id/2530948","",""
"17","https://img.a.transfermarkt.technology/portrait/medium/300716-1662666488.jpg?lm=1","Kieran Tierney","https://www.transfermarkt.us/kieran-tierney/profil/spieler/300716","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569","https://www.transfermarkt.us/fc-arsenal/startseite/verein/11/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/11.png?lm=1489787850","Arsenal","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€27.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/300716/transfer_id/2596989","","https://tmssl.akamaized.net/images/flagge/verysmall/270.png?lm=1520611569"
"18","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Nico Schulz","https://www.transfermarkt.us/nico-schulz/profil/spieler/85867","Left-Back","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","https://www.transfermarkt.us/borussia-dortmund/startseite/verein/16/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/16.png?lm=1396275280","Bor. Dortmund","https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525","Bundesliga","https://www.transfermarkt.us/bundesliga/transfers/wettbewerb/L1/saison_id/2019","€25.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/85867/transfer_id/2481578","",""
"19","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Mario Hermoso","https://www.transfermarkt.us/mario-hermoso/profil/spieler/281769","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","https://www.transfermarkt.us/atletico-madrid/startseite/verein/13/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/13.png?lm=1519120744","Atlético Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","€25.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/281769/transfer_id/2563474","",""
"20","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Joachim Andersen","https://www.transfermarkt.us/joachim-andersen/profil/spieler/260827","Centre-Back","https://tmssl.akamaized.net/images/flagge/verysmall/39.png?lm=1520611569","https://www.transfermarkt.us/olympique-lyon/startseite/verein/1041/saison_id/2019","","Olympique Lyon","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","Ligue 1","https://www.transfermarkt.us/ligue-1/transfers/wettbewerb/FR1/saison_id/2019","€24.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/260827/transfer_id/2551678","https://tmssl.akamaized.net/images/wappen/tiny/1041_1656668888.png?lm=1656668889",""
