"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"Watford","Jo~ao Pedro","€11.50m","Forward","Premier League","Centre-Forward",39,26.2,32,"€239.10m","Premier League",11,38,14,8,16,"52:59",-7,50
"Watford","Isma""ila Sarr","€30.00m","Forward","Premier League","Right Winger",39,26.2,32,"€239.10m","Premier League",11,38,14,8,16,"52:59",-7,50
"Watford","Ignacio Pussetto","€8.50m","Forward","Premier League","Right Winger",39,26.2,32,"€239.10m","Premier League",11,38,14,8,16,"52:59",-7,50
"West Ham United","Jarrod Bowen","€21.30m","Forward","Premier League","Right Winger",37,26.6,23,"€359.00m","Premier League",10,38,15,7,16,"52:55",-3,52
"West Ham United","S'ebastien Haller","€50.00m","Forward","Premier League","Centre-Forward",37,26.6,23,"€359.00m","Premier League",10,38,15,7,16,"52:55",-3,52
"West Ham United","Albian Ajeti","€11.30m","Forward","Premier League","Centre-Forward",37,26.6,23,"€359.00m","Premier League",10,38,15,7,16,"52:55",-3,52
"Wolverhampton Wanderers","Ra'ul Jim'enez","€38.00m","Forward","Premier League","Centre-Forward",40,24.1,26,"€302.90m","Premier League",7,38,16,9,13,"47:46",1,57
"Wolverhampton Wanderers","Daniel Podence","€19.60m","Forward","Premier League","Left Winger",40,24.1,26,"€302.90m","Premier League",7,38,16,9,13,"47:46",1,57
"Wolverhampton Wanderers","Patrick Cutrone","€18.00m","Forward","Premier League","Centre-Forward",40,24.1,26,"€302.90m","Premier League",7,38,16,9,13,"47:46",1,57
"Wolverhampton Wanderers","Pedro Neto","€17.90m","Forward","Premier League","Right Winger",40,24.1,26,"€302.90m","Premier League",7,38,16,9,13,"47:46",1,57
